"user","id","title","text","tags","time"
39032,22,Обновление  документов?,"&lt;p&gt;В апреле кончается срок действия моей SB и Basic Safety, в рейсе еще не был. Сейчас собираюсь пойти в рейс. Вопрос такой- их нужно обновить или сделать по новой? Помогите...&lt;/p&gt;","SB,BasicSafety,сертификат,сертефикаты",1454538046
38905,23,Налогообложение моряков,"&lt;p&gt;Подскажите пожалуйста, должны ли моряки платить налоги в Украине, если нет то могут ли их ввести в ближайшем будущем?&lt;/p&gt;","налогообложение,налоги,морскиеналоги,налоговыйкодекс,налогообложение_моряков",1447738764
39032,24,Куда пойти учиться?,"&lt;p&gt;Скажите уважаемые моряки. Мне 20 лет хочу начать учебу на штурмана в Одессе. Понимаю что ОНМА лучше учебное заведние для этого, но боюсь что будет накладно по деньгам. Скажите какое отношение к выпускникам других заведений - Маринеско, рыбки?&lt;/p&gt;","ОНМА,учеба,Маринеско,рыбка,ОМУ_РП",1454719098
39032,25,Шенгенская виза,&lt;p&gt;Может ли у меня быть две одновременно действующие Шенгенские визы?&lt;/p&gt;,"виза,Шенген,Шенгенскаявиза",1456759130
39032,26,Собеседование на судно,"&lt;p&gt;В случае удачного прохождения интервью, как скоро я попаду на корабль?&lt;/p&gt;","итрервью,собеседование",1456759260
39033,27,Что такое сертификат БЖС?,&lt;p&gt;Что такое сертификат БЖС?&lt;/p&gt;,"сертификат,БЖС,сертификатБЖС",1456759367
39039,28,Виды тревог на судне?,"&lt;p&gt;Подскажите, какие виды тревог бывают на судне?&lt;/p&gt;","тревогинасудах,тревогинасудне,сигналытревогнасудне,расписаниетревогнасудах,виды_тревог",1456759597
39033,29,Завершение контракта раньше времени,&lt;p&gt;Что если&amp;nbsp;мне нужно будет вернуться домой до завершения контракта?&lt;/p&gt;,"контракт,домой,возвращениедомой",1456759619
39034,30,Какая гарантия выплаты,&lt;p&gt;Какая гарантия получения заработанных мной денег?&lt;/p&gt;,"заработок,деньги,гарантии,выплаты",1456759777
39034,31,Рассмотрение кандидатуры,&lt;p&gt;Как долго рассматривается анкета и как скоро могут пригласить на собеседование?&lt;/p&gt;,"анкета,собеседование,интервью,application_form,application",1456759906
39071,33,Морские традиции,"&lt;p&gt;Добрый день,&lt;br /&gt;Вопрос такого рода :&lt;br /&gt;Какие вы знаете морские приметы или традиции. Скоро собираюсь в первый рейс , интересно что меня ждёт) &lt;br /&gt;Спасибо за любую информацию&lt;/p&gt;","морскиетрадиции,omctf,морские_приметы",1456904175
39070,36,Первый рейс,"&lt;p&gt;Какую фирму с кадетской программой посоветуете для первого рейса?Я курсант второго курса в МКТФ ОНМА,английским владею и учусь быстро.Есть желание попасть в рейс,но так как я не совершеннолетний сложно найти вакансии и устроиться сразу в хорошую компанию.Не так важна заработная плата,как получений опыт после рейса.Если есть варианты,буду благодарен за помощь!Всем удачи и семь футов под килем!!!&lt;/p&gt;","рейссовет,omctf,кадетская_программа,онма,первый_рейс,морской_опыт",1456904259
39097,38,Быстроходная гребная шлюпка,&lt;p&gt;Легкая длинная быстроходная гребная шлюпка носит название&amp;hellip;&lt;/p&gt;,"omctf,шлюпка,гребнаяшлюпка,быстроходнаяшлюпка",1456940700
39099,39,General alarm bells,"&lt;p&gt;What do the members of the crew do on hearing three short rings on the general alarm bells?&lt;/p&gt;
&lt;p&gt;&amp;nbsp;&lt;/p&gt;","omctf,техфлот,threeshortrings,морскаятревога,generalalarmbells,общиесигналытревоги,сигналытревогинасудне,судоваятревога",1456944432
39103,40,почему нельзя добывать электричество с морской воды,"&lt;p&gt;Суда&amp;nbsp;ходят&amp;nbsp;в океанах и морях, в общем в воде с повышенным солесодержанием&lt;br /&gt;почему нельзя или не добывают электроэнергию с морской воды?&lt;br /&gt;да может это будет незначительно большое напряжение для судовых нужд и &lt;span id=&quot;orfo-misgrammed-1&quot; class=&quot;orfo-misgrammed&quot;&gt;&lt;span id=&quot;orfo-misspelled-5&quot; class=&quot;orfo-misspelled&quot;&gt;тд&lt;/span&gt;&lt;/span&gt; но это можно использовать как аварийный источник, так же и на шлюпках и плотах как источник света, тепла и &lt;span id=&quot;orfo-misgrammed-2&quot; class=&quot;orfo-misgrammed&quot;&gt;&lt;span id=&quot;orfo-misspelled-6&quot; class=&quot;orfo-misspelled&quot;&gt;тд&lt;/span&gt;&lt;/span&gt;.&lt;br /&gt;Ведь раньше да и сейчас все еще выпускают солевые батарейки. Достаточно 2-х пластин разного метала и можно получить электричество, а набор таких пластин.....&lt;br /&gt;&lt;br /&gt;&lt;/p&gt;","marinesko,океан,электричество,электричество_с_морской_воды,аварийный_источник_на_судне,аварийный_источник,солевые_батарейки",1456953387
39032,41,Отличие перевозки газа и нефти,&lt;p&gt;Чем перевозка сжиженного природного газа отличается от перевозки нефти?&lt;/p&gt;,"газ,природный_сжиженный_газ,нефть,перевозка,перевозка_нефти",1457088619
39033,42,Страховой полис,&lt;p&gt;Должен ли я оформить страховой полис до получения визы?&lt;/p&gt;,"страховойполис,виза,оформление",1457095696
39034,43,Дискриминация на судне,&lt;p&gt;Могут ли на судне иметь место случаи дискриминации по половому или расовому признаку?&lt;/p&gt;,"судно,дискриминация,половаядискриминациянасудне,половаядискриминация,расизм,расизмнасудне",1457096956
38905,44,Форс-мажорные обстоятельства,&lt;p&gt;Что делать моряку в случаи форс-мажора или аресте судн&lt;strong&gt;&lt;/strong&gt;а?&lt;/p&gt;,"случаи_у_моряков,форсмажор,арест_судна",1457098269
38060,45,Почему у украинских моряков такая маленькая зарплата?,"&lt;p&gt;Здравствуйте! Почему Украинский моряк работая под флагом Евросоюза получает не европейскую зп?&lt;br /&gt;Например 3й помошник капитана (хорват) 4500 евро, а украинец максимум 2500 долларов?&lt;/p&gt;","украинский_моряк,маленькая_зарплата,различие_зарплат_моряков,зп",1457098830
38901,46,Медицина на судне,&lt;p&gt;Что делать моряку на случай заболевания или получения травмы в период работы на судне ?&lt;/p&gt;,"болезни,травмынасудне,каклечить,какаястраховка,медицина",1457102097
39171,47,Мореходная астрономия,&lt;p&gt;Доводилось ли кому применять на практике знания мореходной астрономии(исключая определение поправки ГК)?&lt;/p&gt;,"astronomy,астрономия,мореходная_астрономия,sea_astronomy,поправки_гк",1457475412
39171,48,Старпомам! Балкер или контейнер/генгруз,"&lt;p&gt;&lt;span style=&quot;color: #008000;&quot;&gt;Вопрос Старпомам! На каком типе судов предпочитаете работу в плане грузовых операций, перевозки грузов итд.&lt;/span&gt;&lt;/p&gt;
&lt;p&gt;&lt;span style=&quot;color: #000000;&quot;&gt;Думаю вопрос будет интересен как начинающим морякам, так и опытным судоводителям, проявившим желание сменить флот.&lt;/span&gt;&lt;/p&gt;
&lt;p&gt;&lt;span style=&quot;color: #000000;&quot;&gt;И все же принципиальные отличия и специфика работы понятны, но хотелось бы узнать предпочтение навалочным грузам перед штучными и наоборот, почему, какие основные привелегии Вы можете выделить в работе &quot;своего флота&quot; по части грузов, загружености работы, сложности, оплаты своего труда, знаний и практических умений в работе на данных типах судов. Благодарю за ответ.&lt;/span&gt;&lt;/p&gt;","fleet,старпом,chief_officer,навалочные_грузы,штучные_грузы",1457515876
39230,50,Application form,&lt;p&gt;Какую анткету или апликашку надо отправлять по крюингам?Как много информации надо писать и в каком формате?&lt;/p&gt;,"Анкета_моряка,Application_form,CV_form,формат_word,формат_pdf",1457703911
39232,51,Критерии крюингов,"&lt;p&gt;Подскажите...&lt;/p&gt;
&lt;p&gt;Я хочу уйти в рейс на хорошее судно, с хорошей перспективой в карьере и желательно рейсы поменьше,а зп. побольше (ну как всем :))&lt;/p&gt;
&lt;p&gt;По каким критериям или как можно быстро определить топ 10-15 крюингов?&lt;/p&gt;","крюинг,рейс,перспектива,карьера,критерии,определениекрюинга",1457704850
39233,52,Матрос AB или OS,"&lt;p&gt;Всем привет!&lt;/p&gt;
&lt;p&gt;Подскажите,правда ли, что матросу АВ легче уйти в рейс, чем с дипломом OS? Есть документы и опыт в несколько контрактов. Знакомые советуют заплатить денег за диплом АВ,купив недостающие месяцы плавценза.Можете подсказать,это вообще целесообразно?&lt;/p&gt;","AB,OS,матрос,рейс,диплом,плавценз,документы",1457706696
39234,53,Связь с крюигом,"&lt;p&gt;Скажите плиз, как лучше напоминать крюигам о себе? Как часто им звонить и отсылать письма на почту, что бы не упустить момента с подходящей вакансией и уйти в рейс?&lt;/p&gt;","крюинг,анкета,вакансия,уходврейс",1457707430
39248,54,Кем лучше уйти в рейс?,"&lt;p&gt;Сколько раз задаю данный вопрос... Мне говорили, что на третьем курсе можно закончить курсы млотористов, получить диплом и уйти мотористом. Большинство говорят уходить кадетом. Так вот,- как лучше сделать?&lt;/p&gt;","техфлот,omctf,кадет,motorman,cadet,плавпрактика,морская_практика",1457958041
39249,55,Как соединяется газо-трубопровод на дне моря,"&lt;p&gt;Хочю задать вопрос:&lt;/p&gt;
&lt;p&gt;Каким образом спускают, соединяют и проводят газо-трубопровод по дну моря и какие суда предназначены для выполнения данной задачи? Спасибо за внимание.&lt;/p&gt;","omctf,трубопровод,морской_трубопровод,газовый_трубопровод,прокладка_трубопровода",1457965139
39260,56,"DGPS, Radar Scan","&lt;p&gt;Добрый день!&lt;/p&gt;
&lt;p&gt;В связи с болшой интенсивности &amp;nbsp;развития торгового флота и вспомогательного, а имено судов с DP установкой, я хотел бы спросить, что обозначает рефференц установки как DGPS, Radar scan, и как они работают? &amp;nbsp; &amp;nbsp;&lt;/p&gt;","omctf,торговый_флот,dp_установка,дп_установка,dgprs,radar_scan",1457971321
39247,57,Механик или Электро механик? Стоит ли менять специальность?,"&lt;p&gt;Здравствуйте я электромеханик 3 класса, я бы хотел спросить у вас совета. Стоит ли продолжать учебу в вышке по своей специальности или лучше перейти на механика? Замечаю, что спрос на механиков больше и уйти проще! Спасибо!&lt;/p&gt;","Механик,Элмех,Электромеханик,Eng,Eleng,Electricalengeneer",1457972026
39274,58,Какие действия необходимо предпринять в случае смерти члена экипажа либо пассажира?,"&lt;p&gt;Допустим, на круизном лайнере или любом другом судне умер человек. Что должен делать экипаж в такой ситуации?&lt;/p&gt;","omctf,смерть_на_судне,первая_помощь,несчастный_случай",1457978266
39275,60,What is the most important thing on the ship? (Что самое главное на судне?),"&lt;p&gt;Сегодня, между моими товарищами произошел спор на эту тему. Одни говорят, что это подготовка экипажа, другие - надежность судна, третьи - разрываются между мостиком и машинным отделением. Каково ваше мнение?&lt;/p&gt;","omctf,судно,экипаж,надежность_судна,мостик,машинное_отделение",1457983711
39275,61,Какие документы понадобиться для прохождения плав практики на 3 курсе?,"&lt;p&gt;Этот вопрос волнует многих курсантов, так как много непонятной информации тяжело воспринимать на словах, тем более насчет документов. Прошу написать&amp;nbsp;список полного комплекта&amp;nbsp;документов&amp;nbsp;для плав практики.&lt;/p&gt;
&lt;p&gt;(P.S. если не сложно, можно также описать нюансы связанные с получением данных документов)&lt;/p&gt;","omctf,курсант,кадет,документы_для_практики,плавпрактика",1457984449
39071,62,Расхождение судна с циклоном,"&lt;p&gt;Добрый вечер&lt;/p&gt;
&lt;p&gt;Какие вы знаете правила/способы расхождения судна с циклонами ?&lt;/p&gt;","управлениесудном,omctf,циклон,тропический_циклон,расхождение_с_циклоном",1457989623
39260,63,Электронные и бумажные карты на судне,"&lt;p&gt;Добрый вечер! подскажите, чем удобны электронные карты от бумажных?&lt;/p&gt;","omctf,электронныекарты,бумажныекарты,навигация,навигациянасудне",1457991532
39260,64,Картография (гноманическая проекция),"&lt;p&gt;Подскажите пожалуйста, как работать с &amp;nbsp;картами гноманичесной проекции?&lt;/p&gt;","omctf,гноманическаяпроекция,проекция,системакоординат",1457991686
39288,65,Осмосная вода,&lt;p&gt;Как сделать осмосную воду?&lt;/p&gt;,"omctf,осмоснаявода",1458055546
39097,66,Закатанная часть паруса,&lt;p&gt;&lt;span style=&quot;color: #222222; font-family: Verdana; font-size: 15px; line-height: 22px;&quot;&gt;Закатанная часть паруса называется?&lt;/span&gt;&lt;/p&gt;,"omctf,закатаннаячастьпаруса,парус",1458056211
39290,67,Пожарная безопасность,&lt;p&gt;Что обеспечивают системы водяного пожаротушения на судне?&lt;/p&gt;,"marinesko,пожарнасудне,пожаротушение,пожар",1458067869
39298,68,Нужные вещи в рейс,"&lt;p&gt;Добрый день, подскажите пожалуйста что брать с собой в рейс?&amp;nbsp;&lt;/p&gt;","omctf,нужныевещи,вещиврейс,рейсовыйбагаж",1458145546
39299,69,Потеря осадки при крене,"&lt;p class=&quot;MsoNormal&quot;&gt;&lt;span style=&quot;font-size: 12.0pt; line-height: 115%;&quot;&gt;Доброго времени суток.Подскажите пожалуйста,как быстро посчитать потерю осадки при крене в несколько градусов?&lt;/span&gt;&lt;/p&gt;","omctf,крен,потеряосадки",1458153256
39302,71,Навигационные издания,"&lt;p&gt;Что значит приставка (Т) в названии навигационных изданий к примеру:&lt;/p&gt;
&lt;p&gt;NP 3234 (T)&lt;/p&gt;
&lt;p&gt;Тот же вопрос, что значит приставка (Р)&lt;/p&gt;","omctf,nauticalpublications,навигационные_издания,np,np_3234",1458160177
39233,72,Супертанкер,&lt;p&gt;Что такое &quot; супертанкер&quot; ?&amp;nbsp;&lt;/p&gt;,"танкер,супертанкер",1458228217
39032,73,Социальное страхование,&lt;p&gt;Обязательно ли членам команды уплачивать взносы по социальному страхованию?&lt;/p&gt;,"команда,взносы,страхование",1458228485
39034,74,Возрастное ограничение,&lt;p&gt;Существуют ли возрастные ограничения по приему на работу?&lt;/p&gt;,"возраст,ограничение,работа",1458229305
70101,75,Пассажирские суда при буксировке,&lt;p style=&quot;text-align: left;&quot;&gt;Участвуют ли &lt;span style=&quot;color: #ff6600;&quot;&gt;пассажирские суда&lt;/span&gt; в буксировке???&lt;/p&gt;,"omctf,буксир,буксирныесуда,tow,towvessel,видыбуксиров",1458245926
70104,76,Таможенный контроль,"&lt;p&gt;Хочу спросить у более опытных. Знакомый едет на контракт через пару дней, на него вышли родственники человека на судне, просят передать ему ноутбук он согласился. &amp;nbsp;Не будут ли у него проблем на границе из за 2-х ноутбуков в ручной клади? Спасибо заранее&lt;/p&gt;","11,marinesko,ноутбук,нужныевещи,граница,морскойбагаж",1458307170
70101,77,Вопрос про котлы,&lt;p&gt;В чем отличие &lt;span style=&quot;color: #ff6600;&quot;&gt;комбинированного&lt;/span&gt; котла от &lt;span style=&quot;color: #008000;&quot;&gt;композитного&lt;span style=&quot;color: #000000;&quot;&gt;???&lt;/span&gt;&lt;/span&gt;&lt;/p&gt;,"omctf,котлынасудне,котлы,композитныйкотел,комбинированныйкотел,отоплениенасудне,принципработыкотлов",1458327062
70121,78,Охрана судов,"&lt;p&gt;Военный корабль специального назначения для охраны, разведки и борьбы с подводными лодками? Корабли такого типа использовались во время ворой мировой войны в британском и американском флотах&amp;nbsp;&lt;/p&gt;","marinesko,охранасудна,оборонасудна,военныйкорабль,корвет,военныйфлот,судавтороймировой",1458504897
70121,79,Решетчатые площадки,"&lt;p&gt;Площадки, обычно решетчатые , устраиваемые над палубой судна для шлюпок , катеров и боркасов ?&amp;nbsp;&lt;/p&gt;","marinesko,ростры,палубадляшлюпок,катер,баркас,решетчатыеплощадки",1458504966
70121,80,"Бакены, буи, водные знаки","&lt;p&gt;Безопасный в навигационном отношении проход по водному простанству, обозначенный бакенами, буями и створными знаками ??&amp;nbsp;&lt;/p&gt;","marinesko,бакены,буй,створныезнаки,судно,моряк,фарватер",1458505066
39283,82,Стандарты ASA и ANSI,"&lt;p&gt;Друзья помогите пожалуйста разобратся между стандартами ANSI и &amp;nbsp;ASA, работаю на танкере, в пампруме лежит куча немаркированных редюсеров пытаюсь разобратся какие из них стандарта ASA а какие ANSI?&lt;/p&gt;
&lt;p&gt;Уже перелистал весь ISGOTT смотрел всю литературу касающуюся танкеров, манифолдов и прочее но нигде не могу найти четкое определение размерений для редюсеров. Как мне при помощи обычной рулетки определить где какой редюсер и какой у него размер.&amp;nbsp;&lt;/p&gt;
&lt;p&gt;Также интересует бывают ли &amp;nbsp;ANSI 300 и ASA 150 ? или только ANSI 150 &amp;nbsp;и ASA 300. Спасибо огромное, надеюсь бывалые танкеристы подскажут&lt;/p&gt;","ASA,ANSI,manifold,tanker,oil,reducers,asa300,ansi150,isgott,pumproom,help",1458568791
70121,83,Отклонение судна от курса,"&lt;p&gt;&lt;span style=&quot;font-family: Arial, Helvetica, sans-serif; font-size: 15px; line-height: 25.5px;&quot;&gt;Как называеться отклонение судна от курса, его непроизвольное перемещение при спущенных парусах или неработающем двигателе под воздействием ветра, течения?&lt;/span&gt;&lt;/p&gt;","marinesko,отклонениесудна,спущенные_паруса,морское_течение,курс_судна",1458652491
70130,85,Кадет,"&lt;p&gt;Очень интересует такой вопрос:&lt;/p&gt;
&lt;p&gt;Какие задачи стоят на судне у палубного кадета? И может от себя кто-то может дать пару советов, как и что делать. Так же интерисует первые действия палубного кадета на судне, что и как нужно сделать в первую очередь?&lt;/p&gt;
&lt;p&gt;Спасибо.&lt;/p&gt;","omctf,кадет,cadet,палубный_кадет,first_seaman_experience",1458753211
39260,86,Корректура карт,&lt;p&gt;Как часто делают корректуру карт?&amp;nbsp;&lt;/p&gt;,"omctf,корректуракарт,морскаянавигация",1458754378
39260,87,Nitices to marines,&lt;p&gt;Для чего нужен Nitices to marines?&amp;nbsp;&lt;/p&gt;,"omctf,niticestomarines",1458754434
39299,88,"Способ постановки судна на якоре""на шпринг""","&lt;p&gt;Доброго времени суток.Подскажите пожалуйста,при грузовых операциях на открытых рейдах применяется способ постановки судна на якоре&quot;&lt;span style=&quot;line-height: 1.42857;&quot;&gt;на шпринг&quot;&lt;/span&gt;&lt;span style=&quot;line-height: 1.42857;&quot;&gt;?Каким образом происходит постановка и как судно себя при этом ведёт?&lt;/span&gt;&lt;/p&gt;","Постановкасуднанаякорепостановкасуднанашпринг,omctf",1458756249
70104,89,Первый рейс,"&lt;p&gt;Всем доброго времени суток!&amp;nbsp;&lt;br /&gt;Меня интересует такой вопрос. В данный момент я курсант МУ им Маринеско, судоводительского отделения и мне предложили выгодный контракт матросом второго класса на LPG. Я на третьем курсе.&amp;nbsp;&lt;br /&gt;В чём собственно вопрос. Мне обязательно необходима практика в должности кадета для получения рабочего диплома или я могу получить плавценз матросом и мне этого будет вполне достаточно???&lt;/p&gt;","Cadet,marinesko,lpg,судоваяпрактика,ordinaryseaman,плавценз",1458794382
70149,90,Трудоустройство,"&lt;p&gt;Здравствуйте, я курсант 3 курса ОМУ ОНМУ им.А.И.Маринеско. Учусь на портового электромеханика. Меня интересует следуещее, возможно ли устроиться к вам на судно на практику портовым специальностям? Задаю вам этот вопрос так как мы изучаем то что и судомеханики + электричество различных механизмов. Если да, то что для этого требуеться?&lt;/p&gt;","Kadet,marinesko,судовая_практика",1458852894
35656,91,Dynamic Position,&lt;p&gt;Доброго времни суток! Я курсант 4-го курса МУ им.Маринеско НУ ОМА судомеханического отделения! Был в рейсе и столкнулся с таким вспомогательным механизмом как Dynamic Position2! Как бы в ней разобрался но интересует такой вопрос.Какое принципиальное отличие Dynamic Position 2 от Dynamic Position?&amp;nbsp;&lt;/p&gt;,"marinesko,вспомогательныймеханизм,dynamicposition,dynamicposition2",1459009177
70156,92,Требования Солас-74 (пожарная безопасность),"&lt;p&gt;Я курсант 4-го курса судомеханического отделения МУ им. Маринеска НУ &quot;ОНМА&quot; и у меня&amp;nbsp;возник такой вопрос : &quot;&lt;span style=&quot;font-size: 11.0pt; line-height: 115%; font-family: &#039;Calibri&#039;,&#039;sans-serif&#039;; mso-ascii-theme-font: minor-latin; mso-fareast-font-family: Calibri; mso-fareast-theme-font: minor-latin; mso-hansi-theme-font: minor-latin; mso-bidi-font-family: &#039;Times New Roman&#039;; mso-bidi-theme-font: minor-bidi; mso-ansi-language: RU; mso-fareast-language: EN-US; mso-bidi-language: AR-SA;&quot;&gt;Как обеспечивается конструктивно пожарная безопасность на дизелях согласно требованиям Конвенции СОЛАС-74?&quot;&lt;/span&gt;&lt;/p&gt;","marinesko,пожарнаябезопасность,пожарнаябезопасностьнасудне,пожарнасудне,солас74,solas74",1459061663
39097,93,Маневрирование судном,"&lt;p&gt;&lt;span style=&quot;color: #222222; font-family: Verdana; font-size: 15px; line-height: 22px;&quot;&gt;Грести в обратную сторону, чтобы дать шлюпке задний ход или сделать разворот, значит????&lt;/span&gt;&lt;/p&gt;","omctf,tobackastern,табанить,таванить,баланить",1459094801
70101,94,В чем отличие инжектора от эжектора???,&lt;p&gt;В чем отличие &lt;span style=&quot;color: #800000;&quot;&gt;инжектора&lt;/span&gt; от &lt;span style=&quot;color: #008000;&quot;&gt;эжектора&lt;/span&gt;???&lt;/p&gt;,"omctf,эжекторы,инжекторы,отличие_инжектора_от_эжектора,принцип_работы_эжектора,принцип_работы_инжектора",1459110087
70101,95,Вопрос по прохождению тестов в крюинге,"&lt;p&gt;В крюинге помимо подачи документов необходимо проходить собеседование, тесты, и т.д. Собственно вопрос: какие тесты используют сейчас крюинги: Марлин, CES4.1??? И если второе, то что в него входит???&lt;/p&gt;","omctf,Marlin,marlintest,CES41,тесты,тестывкрюинге,тестывкрюинге,марлинтест,ЦЕС,Марлинтест,какиетестыиспользуютвкрюингах,какиетестызачастуюиспользуютвкрюингах,крюинг,курсант,плавпрактика",1459110837
70104,96,Диплом,"&lt;p&gt;&lt;span style=&quot;line-height: 1.42857;&quot;&gt;Всем доброго времени суток! Интересует такой вопрос, кто знает или сталкивался с новыми требованиями касательно получения рабочего диплома. На сегодняшний день имеется учебный диплом матроса, одни говорят, что достаточно просто принести свои документы в капитанию, где происходит обмен учебного на рабочий в течении двух недель, другие утверждают, что нужно сдавать экзамен как раньше.&amp;nbsp;&lt;br /&gt;&lt;/span&gt;Кто сталкивался с подобным, просветите ситуацию&lt;/p&gt;","marinesko,капитания,документы_матроса,получение_документов_моряка",1459177230
70104,97,"Диплом,практика","&lt;p&gt;Всем доброго времени суток!&lt;br /&gt;Столкнулся с такой проблемой - при прохождении курсов матроса (O.S.) , после теоретической части при обучении полагается практика 2 месяца, для получения соответствующего плавценза. Нам же просто, как я понял, оформили данную практику без её прохождения.&amp;nbsp;&lt;br /&gt;До поступления на курсы матроса, я проходил практику от своего училища на буксирах. Возможна такая ситуация, что практику на буксирах засчитали за практику матроса? Кто что думает по этому поводу?&lt;/p&gt;","marinesko,дипломная_практика,os,ordinary_seaman,плавпрактика,плавценз,курсы_матроса",1459177643
70104,98,Диплом,"&lt;p&gt;Всем доброго времени суток!&amp;nbsp;&lt;br /&gt;Интересует вопрос по поводу стандартного перечня сертификатов для оформления рабочего диплома матроса. На данный момент имеется НБЖС, сертификат по пожарам, шлюпкам, бесопасности. Некоторые говорят о необходимости наличия сертификата по медицине, в крюинге сказали, что он матросу он не нужен. В треннинг центре про это ни слово. Кто подавал на оформелие документов, отзовитесь, хотелось бы знать конкретнее. Заранее спасибо&lt;/p&gt;","marinesko,нбжс,диплом_матрос,сертификаты_для_матроса,оформление_документов_для_контракта",1459178277
39255,99,Одновременное прохождение через экваториальный и субарктический пояс Земли,"&lt;p&gt;Интересно узнать&lt;/p&gt;
&lt;p&gt;Возможно ли за один рейс проходить как через экваториальный так и субарктический климатический&amp;nbsp;&lt;span style=&quot;line-height: 1.42857;&quot;&gt;пояс Земли?&lt;/span&gt;&lt;/p&gt;","omctf,экватор,экваториальныйпояс,субарктическийпояс,климатическийпояс",1459186113
